SubjectID,researchdate
1585271561336647901,2025-06-03
1585271561336999263,2025-06-03
1585271561337022332,2025-06-03
1585271561337050533,2025-06-03
1585271561337053948,2025-06-03
1729388589032331985,2025-06-03
1738403280270865088,2025-06-03
1954574044080790082,2025-06-03
2089675984079929177,2025-06-03
2233792637557833088,2025-06-03
2315718326334908096,2025-06-03
2377908555547499328,2025-06-03
2882308749924541139,2025-06-03
3323668325271603393,2025-06-03
3467783911479848960,2025-06-03
3828751370547352448,2025-06-03
3972183818959580032,2025-06-03
4107288419676846156,2025-06-03
4107288419676846200,2025-06-03
4548647573216187331,2025-06-03
4692759896965140290,2025-06-03
4764817325728901314,2025-06-03
5044039385649898752,2025-06-03
5197166057798793280,2025-06-03
5260212023980595118,2025-06-03
5629511854270500800,2025-06-03
5764614858704116186,2025-06-03
6341074104264851725,2025-06-03
6701361217345429528,2025-06-03
6854489553924494023,2025-06-03
7286835588169424727,2025-06-03
8079470079227476545,2025-06-03
8214571128982578588,2025-06-03
8791033531611703570,2025-06-03
8935148650840696065,2025-06-03
8935148960500688000,2025-06-03
9007204939872883344,2025-06-03
5034735007817,2025-06-04
153134458553130626,2025-06-04
648524241621891017,2025-06-04
1234000039061637954,2025-06-04
1513216560753935319,2025-06-04
1585271561336678840,2025-06-04
1585271561336697243,2025-06-04
1585271561336719294,2025-06-04
1585271561336771633,2025-06-04
1585271561336967196,2025-06-04
1585271561337030905,2025-06-04
1729388589032331985,2025-06-04
1954574044080790082,2025-06-04
2244513240001046080,2025-06-04
3026427095411120460,2025-06-04
3900967167078630144,2025-06-04
3963174951955399954,2025-06-04
4188358369920040000,2025-06-04
4261580498707044544,2025-06-04
4692759896965140290,2025-06-04
4908935609760525954,2025-06-04
5197165587782267328,2025-06-04
5260209176225692826,2025-06-04
5269222877690299204,2025-06-04
5332267584642577300,2025-06-04
5332267584642577320,2025-06-04
5764614858704116186,2025-06-04
5989801510985425153,2025-06-04
6052843423965704118,2025-06-04
6052843423965704521,2025-06-04
6341074104264851725,2025-06-04
6566258848326421577,2025-06-04
6783798661000274688,2025-06-04
6926548043751394241,2025-06-04
6998872468341592896,2025-06-04
7430951976169582016,2025-06-04
7719180632607324117,2025-06-04
8079469907788943042,2025-06-04
9016217269999190245,2025-06-04
5034735006047,2025-06-05
648524241621891017,2025-06-05
875418803981039424,2025-06-05
946931548975346752,2025-06-05
1008813765626955268,2025-06-05
1089884978166964928,2025-06-05
1297043030334348571,2025-06-05
1306806058556077568,2025-06-05
1513216560753935319,2025-06-05
1585271561336719294,2025-06-05
1585271561336967196,2025-06-05
1585271561337012619,2025-06-05
1585271561337021701,2025-06-05
1585271561337024794,2025-06-05
1585271561337032322,2025-06-05
1585271561337053502,2025-06-05
1729388589032331985,2025-06-05
1729390231323623488,2025-06-05
1739855415287684224,2025-06-05
1954573939019829505,2025-06-05
1954574044080790082,2025-06-05
2243906939957421696,2025-06-05
2305848744076623212,2025-06-05
2305848744076623408,2025-06-05
2676736128943147201,2025-06-05
2738194092690289034,2025-06-05
2882311520272393920,2025-06-05
4188358369920039902,2025-06-05
4261457657532782784,2025-06-05
4836876699678227158,2025-06-05
5116095829525861642,2025-06-05
5620499395138991575,2025-06-05
5764614858704116186,2025-06-05
5980787364025193058,2025-06-05
6341074104264852120,2025-06-05
6341074104264856003,2025-06-05
6701361217345430046,2025-06-05
6701361217345430749,2025-06-05
6917536153237304648,2025-06-05
7710168402041500482,2025-06-05
7926341023773842851,2025-06-05
8367700322646866753,2025-06-05
8791033816660297281,2025-06-05
8935148960500687426,2025-06-05
9016217269999190245,2025-06-05
441361688982364355,2025-06-06
504410216844887574,2025-06-06
513421118227062849,2025-06-06
792639191900656652,2025-06-06
1162022737893971328,2025-06-06
1233998612444276802,2025-06-06
1306053021421775489,2025-06-06
1585271561336779155,2025-06-06
1585271561336804690,2025-06-06
1585271561336836994,2025-06-06
1585271561336879976,2025-06-06
1585271561336987845,2025-06-06
1585271561337002721,2025-06-06
1585271561337026168,2025-06-06
1729388589032331985,2025-06-06
1954572816503618427,2025-06-06
1954573939019829505,2025-06-06
2233792637557835906,2025-06-06
2233802556162053506,2025-06-06
2243246602605790784,2025-06-06
2244161396280146880,2025-06-06
2305848744076623212,2025-06-06
2305848744076623408,2025-06-06
2531035227693134080,2025-06-06
3035439740714155136,2025-06-06
3251611063009621249,2025-06-06
4107288419676846144,2025-06-06
4188358369920039902,2025-06-06
4188358933945245264,2025-06-06
5476384795035394075,2025-06-06
5764614858704116186,2025-06-06
7854284809238590800,2025-06-06
8214571128982578588,2025-06-06
720583759961124417,2025-06-07
1008811907659198083,2025-06-07
1161942649620631617,2025-06-07
1224985242758498140,2025-06-07
1297043030334348571,2025-06-07
1306199128137519168,2025-06-07
1450169730127850278,2025-06-07
1585271561336642047,2025-06-07
1585271561336660410,2025-06-07
1585271561336739466,2025-06-07
1585271561336744637,2025-06-07
1585271561336888673,2025-06-07
1585271561336950266,2025-06-07
1585271561336968320,2025-06-07
1585271561336985866,2025-06-07
1585271561337012029,2025-06-07
1585271561337028331,2025-06-07
2089675984079929177,2025-06-07
2449965110012013066,2025-06-07
2891323557308657986,2025-06-07
3107497533813582784,2025-06-07
3323697511522713536,2025-06-07
3747000630363940255,2025-06-07
3891117339130576500,2025-06-07
4908937353777220800,2025-06-07
6052843423965704794,2025-06-07
6269016405102144747,2025-06-07
6629304165209879023,2025-06-07
6710374421143547864,2025-06-07
6710852998872164609,2025-06-07
6784027359418859072,2025-06-07
7070663956211116160,2025-06-07
7791241212634248768,2025-06-07
7854284809238590800,2025-06-07
8502804186997688729,2025-06-07
8791033816660297281,2025-06-07
8800699037240317312,2025-06-07
8935148650840696384,2025-06-07
9007204635750639287,2025-06-07
9007204939872883031,2025-06-07
9079264347632290584,2025-06-07
225335593580788480,2025-06-08
226944985535436544,2025-06-08
513421118227062849,2025-06-08
576467810957597286,2025-06-08
792639191900656782,2025-06-08
1306055918923485313,2025-06-08
1306357457811926976,2025-06-08
1451738962565949888,2025-06-08
1513216560753935319,2025-06-08
1585271561336613043,2025-06-08
1585271561336647429,2025-06-08
1585271561336862731,2025-06-08
1585271561336876209,2025-06-08
1585271561336888673,2025-06-08
1585271561336972954,2025-06-08
1585271561337012619,2025-06-08
1585271561337042922,2025-06-08
1585271561337048914,2025-06-08
1585274468154760803,2025-06-08
1729388141130525804,2025-06-08
1954573939019829505,2025-06-08
2531033574337163890,2025-06-08
2531033574337167351,2025-06-08
2738194092690289674,2025-06-08
5197166483580529984,2025-06-08
5269222877690299204,2025-06-08
5341279786058208873,2025-06-08
5764614858704116186,2025-06-08
6422145316800824194,2025-06-08
6629304165209877672,2025-06-08
6629304165209879023,2025-06-08
7214778110251697795,2025-06-08
7287726802593596288,2025-06-08
7358893773874612354,2025-06-08
7782225973962771416,2025-06-08
8430746051069922433,2025-06-08
8502804186997688729,2025-06-08
8872103851395035073,2025-06-08
5034735006870,2025-06-09
5034735007009,2025-06-09
5034735007859,2025-06-09
792639191900656642,2025-06-09
936756002501340111,2025-06-09
1089883064924784192,2025-06-09
1297043030334348571,2025-06-09
1369101741337282579,2025-06-09
1585271561336628314,2025-06-09
1585271561336662224,2025-06-09
1585271561336946807,2025-06-09
1585271561336959874,2025-06-09
1585271561336963868,2025-06-09
1585271561336985149,2025-06-09
1585271561337011960,2025-06-09
1585271561337044057,2025-06-09
1585271561337046081,2025-06-09
1585271561337051825,2025-06-09
1729388589032331985,2025-06-09
1954573939019829505,2025-06-09
2314861737789880281,2025-06-09
2738194092690289729,2025-06-09
3179555360094856128,2025-06-09
3242598857385037365,2025-06-09
